internal_code,description,procore_code,confidence,basis
01-0000.001,"General Conditions",1-10000.000,INFERRED-divbase,"division 01 base; NO sibling in template"
01-0400.002,"Supervision",1-10000.000,INFERRED-divbase,"division 01 base; NO sibling in template"
02-0000.001,"Site Operations",2-20000.000,INFERRED-divbase,"division 02 base; NO sibling in template"
02-4100.002,"Demolition",2-20000.000,INFERRED-divbase,"division 02 base; NO sibling in template"
02-9005.003,"Final Cleaning",2-20000.000,INFERRED-divbase,"division 02 base; NO sibling in template"
02-9070.004,"SWPPP Permit",2-20000.000,INFERRED-divbase,"division 02 base; NO sibling in template"
02-9200.005,"Survey and Layout",2-20000.000,INFERRED-divbase,"division 02 base; NO sibling in template"
02-9300.006,"Building and Site Services",2-20000.000,INFERRED-divbase,"division 02 base; NO sibling in template"
02-9400.007,"Site Equipment",2-20000.000,INFERRED-divbase,"division 02 base; NO sibling in template"
02-9500.008,"Special Inspections",2-20000.000,INFERRED-divbase,"division 02 base; NO sibling in template"
03-0000.001,"Cast In-Place Concrete",3-30000.000,AUTHORITATIVE,"template SUMIF"
03-0000.002,"Footings",3-30000.000,INFERRED-sibling,"same 03-0000.* as 03-0000.001"
03-0000.003,"Concrete Strip Footing",3-30000.000,INFERRED-sibling,"same 03-0000.* as 03-0000.001"
03-0000.004,"Concrete Fnd Pads",3-30000.000,INFERRED-sibling,"same 03-0000.* as 03-0000.001"
03-0000.005,"Concrete Walls",3-30000.000,INFERRED-sibling,"same 03-0000.* as 03-0000.001"
03-0000.006,"Concrete Columns",3-30000.000,INFERRED-sibling,"same 03-0000.* as 03-0000.001"
03-0000.007,"SOG",3-30000.000,INFERRED-sibling,"same 03-0000.* as 03-0000.001"
03-0000.008,"Under-Slab Insulation",3-30000.000,INFERRED-sibling,"same 03-0000.* as 03-0000.001"
03-0000.009,"Topping Slab on Precast Parking",3-30000.000,INFERRED-sibling,"same 03-0000.* as 03-0000.001"
03-0000.010,"Amenity Deck Topping Slab and Finished Slab",3-30000.000,INFERRED-sibling,"same 03-0000.* as 03-0000.001"
03-0000.011,"Post Tension Concrete",3-30000.000,INFERRED-sibling,"same 03-0000.* as 03-0000.001"
03-0000.012,"Concrete Patios",3-30000.000,INFERRED-sibling,"same 03-0000.* as 03-0000.001"
03-3543.001,"Polished Concrete",3-33543.000,AUTHORITATIVE,"template SUMIF"
03-4100.001,"Precast Structural Concrete",3-34100.000,AUTHORITATIVE,"template SUMIF"
03-5413.001,"Gypsum Cement Underlayment",3-35413.000,AUTHORITATIVE,"template SUMIF"
03-5413.002,"Gypsum Cement (Subtract Podium Level If Pt)",3-35413.000,INFERRED-sibling,"same 03-5413.* as 03-5413.001"
04-0000.001,"Masonry",4-40000.000,AUTHORITATIVE,"template SUMIF"
04-0000.002,"Masonry - CMU Backup Around Building",4-40000.000,INFERRED-sibling,"same 04-0000.* as 04-0000.001"
04-0000.003,"Masonry - CMU In Garage",4-40000.000,INFERRED-sibling,"same 04-0000.* as 04-0000.001"
04-0000.004,"Masonry - Modular Brick Veneer",4-40000.000,INFERRED-sibling,"same 04-0000.* as 04-0000.001"
04-0000.005,"Masonry - Thin Brick",4-40000.000,INFERRED-sibling,"same 04-0000.* as 04-0000.001"
04-0000.006,"Masonry - Arriscraft",4-40000.000,INFERRED-sibling,"same 04-0000.* as 04-0000.001"
04-0000.007,"Masonry - PC Sill",4-40000.000,INFERRED-sibling,"same 04-0000.* as 04-0000.001"
05-1200.001,"Structural Steel",5-51200.000,AUTHORITATIVE,"template SUMIF"
05-5000.001,"Metal Fabrications",5-55000.000,AUTHORITATIVE,"template SUMIF"
05-7210.001,"Aluminum Decks",5-57210.000,AUTHORITATIVE,"template SUMIF"
05-7210.002,"Aluminum Decks - Juliette",5-57210.000,INFERRED-sibling,"same 05-7210.* as 05-7210.001"
05-7210.003,"Aluminum Decks - Railing Only Balcony",5-57210.000,INFERRED-sibling,"same 05-7210.* as 05-7210.001"
05-7210.004,"Aluminum Railings - F&I",5-57210.000,INFERRED-sibling,"same 05-7210.* as 05-7210.001"
05-7210.005,"Aluminum Decks And Railings - Installation",5-57210.000,INFERRED-sibling,"same 05-7210.* as 05-7210.001"
06-1000.001,"Rough Carpentry Materials (Loose and Joists)",6-61000.000,AUTHORITATIVE,"template SUMIF"
06-1010.001,"Rough Carpentry Installation",6-61010.000,AUTHORITATIVE,"template SUMIF"
06-1710.001,"Manufactured Wall Panels",6-61710.000,AUTHORITATIVE,"template SUMIF"
06-1753.001,"Shop-Fabricated Wood Trusses",6-61753.000,AUTHORITATIVE,"template SUMIF"
06-1800.001,"Glu-Laminated Construction",6-61800.000,AUTHORITATIVE,"template SUMIF"
06-2000.001,"Finish Carpentry Installation",6-62000.000,INFERRED-sibling,"same 06-2000.* as 06-2000.002"
06-2000.002,"Finish Carpentry Installation - Doors",6-62000.000,AUTHORITATIVE,"template SUMIF"
06-2200.003,"Millwork",6-62200.000,AUTHORITATIVE,"template SUMIF"
06-4100.001,"Architectural Casework and Millwork",6-64100.000,AUTHORITATIVE,"template SUMIF"
06-6113.001,"Simulated Stone Fabrications",6-66113.000,AUTHORITATIVE,"template SUMIF"
06-6116.001,"Solid Surfacing And Ctops",6-66116.000,AUTHORITATIVE,"template SUMIF"
06-8316.001,"FRP Wall Paneling",6-68316.000,AUTHORITATIVE,"template SUMIF"
06-7300.001,"Composite Decking",6-67300.000,AUTHORITATIVE,"template SUMIF"
06-8700.001,"Pergolas",6-68700.000,AUTHORITATIVE,"template SUMIF"
07-1000.001,"Waterproofing",7-71000.000,AUTHORITATIVE,"template SUMIF"
