Cost Code Tier 1,Cost Code Tier 2,Cost Type,Budget Code,Budget Code Description,Original Budget Amount,Budget Modifications,Approved COs,Revised Budget,Pending COs,Projected Budget,Committed Costs,Pending Cost Changes,Commitments Invoiced,Direct Costs,ERP Job to Date Cost,Projected Costs,Forecast To Complete,Estimated Cost at Completion,Projected over Under
None,None,None,"","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - Division 01 - General Conditions,1-10000.000 - General Conditions,Material - Material,1-10000.000.Material,General Conditions.Material,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - Division 01 - General Conditions,1-10260.000 - City Licenses/Misc Permits,Material - Material,1-10260.000.Material,City Licenses/Misc Permits.Material,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,0.0,125.0,-125.0
1 - Division 01 - General Conditions,1-10320.000 - Sr Project Manager,Labor - Labor,1-10320.000.Labor,Sr Project Manager.Labor,303966.0,0.0,0.0,303966.0,0.0,303966.0,0.0,0.0,0.0,262440.0,262440.0,262440.0,43200.0,305640.0,-1674.0
1 - Division 01 - General Conditions,1-10420.000 - Superintendent,Labor - Labor,1-10420.000.Labor,Superintendent.Labor,281450.0,0.0,0.0,281450.0,0.0,281450.0,0.0,0.0,0.0,185250.86,185250.86,185250.86,37485.0,222735.86,58714.14
1 - Division 01 - General Conditions,1-10430.000 - Asst. Superintendent,Labor - Labor,1-10430.000.Labor,Asst. Superintendent.Labor,90064.0,0.0,0.0,90064.0,0.0,90064.0,0.0,0.0,0.0,42599.21,42599.21,42599.21,28000.0,70599.21,19464.79
1 - Division 01 - General Conditions,1-10510.000 - Project Assistant,Labor - Labor,1-10510.000.Labor,Project Assistant.Labor,12159.0,0.0,0.0,12159.0,0.0,12159.0,0.0,0.0,0.0,49560.0,49560.0,49560.0,0.0,49560.0,-37401.0
1 - Division 01 - General Conditions,1-11000.000 - Small Tools,Material - Material,1-11000.000.Material,Small Tools.Material,6500.0,0.0,0.0,6500.0,0.0,6500.0,0.0,0.0,0.0,7070.96,7070.96,7070.96,0.0,7070.96,-570.96
1 - Division 01 - General Conditions,1-11200.000 - Fuel and Vehicle Charges,Material - Material,1-11200.000.Material,Fuel and Vehicle Charges.Material,3900.0,0.0,0.0,3900.0,0.0,3900.0,0.0,0.0,0.0,8511.95,8511.95,8511.95,0.0,8511.95,-4611.95
1 - Division 01 - General Conditions,1-11400.000 - Travel and Meals,Material - Material,1-11400.000.Material,Travel and Meals.Material,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1302.14,1302.14,1302.14,0.0,1302.14,-1302.14
1 - Division 01 - General Conditions,1-11600.000 - Procore,Material - Material,1-11600.000.Material,Procore.Material,36100.0,0.0,0.0,36100.0,0.0,36100.0,0.0,0.0,0.0,30685.0,30685.0,30685.0,5415.0,36100.0,0.0
1 - Division 01 - General Conditions,1-15110.000 - Temp Office and Set up,Material - Material,1-15110.000.Material,Temp Office and Set up.Material,24600.0,0.0,0.0,24600.0,0.0,24600.0,0.0,0.0,0.0,21324.42,21324.42,21324.42,1371.0,22695.42,1904.58
1 - Division 01 - General Conditions,1-15111.000 - Cell Phone,Material - Material,1-15111.000.Material,Cell Phone.Material,1755.0,0.0,0.0,1755.0,0.0,1755.0,0.0,0.0,0.0,1491.75,1491.75,1491.75,263.25,1755.0,0.0
1 - Division 01 - General Conditions,1-15112.000 - Jobsite Office Equipment,Material - Material,1-15112.000.Material,Jobsite Office Equipment.Material,3250.0,0.0,0.0,3250.0,0.0,3250.0,0.0,0.0,0.0,1213.43,1213.43,1213.43,500.0,1713.43,1536.57
1 - Division 01 - General Conditions,1-15114.000 - Project Computers / Internet,Material - Material,1-15114.000.Material,Project Computers / Internet.Material,3900.0,0.0,0.0,3900.0,0.0,3900.0,0.0,0.0,0.0,10106.52,10106.52,10106.52,0.0,10106.52,-6206.52
1 - Division 01 - General Conditions,1-15130.000 - Dumpsters,Material - Material,1-15130.000.Material,Dumpsters.Material,58500.0,0.0,0.0,58500.0,0.0,58500.0,0.0,0.0,0.0,44248.17,44248.17,44248.17,14251.83,58500.0,0.0
1 - Division 01 - General Conditions,1-15140.000 - Temporary Toilets,Material - Material,1-15140.000.Material,Temporary Toilets.Material,22100.0,0.0,0.0,22100.0,0.0,22100.0,0.0,0.0,0.0,14816.24,14816.24,14816.24,3000.0,17816.24,4283.76
1 - Division 01 - General Conditions,1-15150.000 - Temporary Fire Extinguishers,Material - Material,1-15150.000.Material,Temporary Fire Extinguishers.Material,4884.0,0.0,0.0,4884.0,0.0,4884.0,0.0,0.0,0.0,0.0,0.0,0.0,4884.0,4884.0,0.0
