Event #,Event Title,Cost Code,Cost Type,Budget Code,Description,Vendor,Contract,UOM,Revenue Unit Qty,Revenue Unit Cost,Revenue ROM,Prime PCO,Latest Price,Cost Unit Qty,Cost Unit Cost,Cost ROM,RFQ,Commitment,Latest Cost,Over / Under,Budget Modification
INT-003,Internal Cost Code Change,60-602020.000 - General Liability Insurance,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
INT-003,Internal Cost Code Change,60-604000.000 - Fee,Material - Material,,,,,,,,$0.00,$0.00,$0.00,,,,,,0.0,$0.00,
INT-003,Internal Cost Code Change,5-51200.000 - Structural Steel,Subcontract - Subcontract,,F&I Aluminum Railgs,"D G Welding & Mfg., Inc.",SC-25-117-051,ls,0.0,$0.00,$0.00,,$0.00,-1.0,"$125,000.00","-$125,000.00",,"-$125,000.00","-$125,000.00","$125,000.00",
INT-003,Internal Cost Code Change,5-57210.000 - Aluminum Deck and Railings,Subcontract - Subcontract,,F&I Aluminum Railgs,"D G Welding & Mfg., Inc.",SC-25-117-051,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$125,000.00","$125,000.00",,"$125,000.00","$125,000.00","-$125,000.00",
INT-002,Ladder Truss at Demising,6-61710.000 - Manufactured Wall Panels,Material - Material,,Ladder Truss,Mayfield Truss LLC,PO-25-117-061,ls,0.0,$0.00,$0.00,,$0.00,1.0,"$15,000.00","$15,000.00",,,"$15,000.00","-$15,000.00",
INT-001,Internal CO M to S,2-29200.000 - Survey & Layout,Material - Material,,Project Management / Meetings / Coordination,WSB,SC-25-117-029,ls,0.0,$0.00,$0.00,,$0.00,-1.0,$440.00,-$440.00,,-$440.00,-$440.00,$440.00,
INT-001,Internal CO M to S,2-29200.000 - Survey & Layout,Subcontract - Subcontract,,Construction Staking Prep / Cogo and Notes,WSB,SC-25-117-029,ls,0.0,$0.00,$0.00,,$0.00,-1.0,"$2,160.00","-$2,160.00",,"-$2,160.00","-$2,160.00","$2,160.00",
INT-001,Internal CO M to S,2-29200.000 - Survey & Layout,Material - Material,,Intermediate Control,WSB,SC-25-117-029,ls,0.0,$0.00,$0.00,,$0.00,-1.0,"$1,060.00","-$1,060.00",,"-$1,060.00","-$1,060.00","$1,060.00",
INT-001,Internal CO M to S,2-29200.000 - Survey & Layout,Material - Material,,Construction Limits,WSB,SC-25-117-029,ls,0.0,$0.00,$0.00,,$0.00,-1.0,"$1,590.00","-$1,590.00",,"-$1,590.00","-$1,590.00","$1,590.00",
INT-001,Internal CO M to S,2-29200.000 - Survey & Layout,Material - Material,,Exterior Building Grids,WSB,SC-25-117-029,ls,0.0,$0.00,$0.00,,$0.00,-1.0,"$3,180.00","-$3,180.00",,"-$3,180.00","-$3,180.00","$3,180.00",
