#,Title,Scope,Type,Reason,Status,Origin,ROM,Prime Totals,Commitment Totals,RFQs,Commitment COs,Prime PCOs
INT-003,Internal Cost Code Change,In Scope,Original Budget,Internal (do not send to sub),Closed,,$0.00 ,$0.00 ,$0.00 ,,2,
INT-002,Ladder Truss at Demising,In Scope,FP Contingency/Buyout,Internal (do not send to sub),Closed,,"$15,000.00 ",$0.00 ,$0.00 ,,,
INT-001,Internal CO M to S,In Scope,Original Budget,Internal (do not send to sub),Closed,,$0.00 ,$0.00 ,$0.00 ,,11,
162,Supply outdoor FEC,In Scope,FP Contingency/Buyout,Fp construction,Open,,$726.63 ,$0.00 ,$726.63 ,,1,
161,Unit Floor Prep,In Scope,FP Contingency/Buyout,Fp construction,Open,,"$6,540.44 ",$0.00 ,"$6,540.44 ",,1,
160,Barrier Gates,In Scope,FP Contingency/Buyout,Fp construction,Open,,"$3,075.00 ",$0.00 ,"$3,075.00 ",,1,
159,Additional Concrete Sidewalk,In Scope,FP Contingency/Buyout,Fp construction,Open,,"$2,856.00 ",$0.00 ,"$2,856.00 ",,1,
158,Install Ovens and Cooktops,In Scope,FP Contingency/Buyout,Fp construction,Open,,"$5,625.00 ",$0.00 ,"$5,625.00 ",,1,
157,Labor for Insulation,In Scope,FP Contingency/Buyout,Fp construction,Open,,$0.00 ,$0.00 ,$0.00 ,,2,
156,Elevator Wall Framing,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$5,960.00 ",$0.00 ,"$5,960.00 ",,1,
155,Additional Class 5,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$2,116.00 ",$0.00 ,"$2,116.00 ",,1,
154,Paint Microwave Shrouds,In Scope,FP Contingency/Buyout,Fp construction,Open,,"$5,000.00 ",$0.00 ,$0.00 ,,,
153,Irrigation System Repairs,In Scope,FP Contingency/Buyout,Fp construction,Open,,"$4,000.00 ",$0.00 ,$0.00 ,,,
152,Additional FE & FECs,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$2,760.00 ",$0.00 ,"$2,760.00 ",,1,
151,Additional Toilet Accessories,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$6,906.50 ",$0.00 ,"$6,906.50 ",,1,
150,Contingency: Ballast Materials,Out of Scope,Owner Contingency,Owner request,Closed,,$0.00 ,$0.00 ,"$19,758.00 ",,1,PCO #CONT-027
149,HM Frame Repairs,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$17,628.00 ",$0.00 ,"$17,628.00 ",,1,
148,High Early Concrete Approach Apron,In Scope,FP Contingency/Buyout,Fp construction,Closed,,$500.00 ,$0.00 ,$500.00 ,,1,
147,Additional Grab Bars,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$5,624.40 ",$0.00 ,"$5,624.40 ",,1,
146,Construction Contingency: Storage Cages,In Scope,FP Contingency/Buyout,Fp construction,Closed,,$0.00 ,$0.00 ,$0.00 ,,,PCO #CONT-026
145,Repair Trellis and Replace Door,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$1,200.00 ",$0.00 ,"$1,200.00 ",,1,
144,Adjustment to CCO 004 for correct value,In Scope,FP Contingency/Buyout,Fp construction,Closed,,$483.00 ,$0.00 ,$483.00 ,,1,
