"Number","Revision","Title","Status","Executed","Amount","Schedule Impact","Date Initiated","Change Reason","PCCO",""
"CONT-027","0","Contingency: Ballast Materials","Approved","Yes","0.0","","6/1/2026","Owner Request","",""
"CONT-026","0","Construction Contingency: Storage Cages","Approved","Yes","0.0","","5/27/2026","FP Construction","",""
"CONT-025","0","Contingency: Additional 24"" Grab Bars","Approved","Yes","0.0","","5/18/2026","Owner Request","PCCO #016",""
"CONT-024","0","Contingency Use: Thickend Slab at Community Room Patio","Approved","Yes","0.0","","5/18/2026","Arch/Eng","PCCO #016",""
"CONT-023","0","Contingency: ASI 013","Approved","Yes","0.0","","5/18/2026","Arch/Eng","PCCO #016",""
"CONT-022","0","Contingency Use: Winter Conditions ","Approved","Yes","0.0","","4/29/2026","Winter Conditions","PCCO #015",""
"CONT-021","0","Contingency: ASI 012 - Trash Chute Exhaust ","Approved","Yes","0.0","","4/10/2026","Arch/Eng","PCCO #014",""
"CONT-020","0","Contingency: Auto-Operator at Opening 004 Pet Spa","Approved","Yes","0.0","","3/27/2026","Owner Request","PCCO #014",""
"CONT-019","0","Contingency: Add Adjustable Shelving at Unit Linen","Approved","Yes","0.0","","3/17/2026","Owner Request","PCCO #012",""
"CONT-018","0","Contingency: Dedicated Circuits at Cardio 108","Approved","Yes","0.0","","2/23/2026","Owner Request","PCCO #011",""
"CONT-017","0","Contingency: Added Fire Extinguishers Phase 1","Approved","Yes","0.0","","1/29/2026","Arch/Eng","PCCO #011",""
"CONT-016","0","Contingency: Unit Lighting Control Changes","Approved","Yes","0.0","","1/15/2026","Owner Request","PCCO #008",""
"CONT-015","0","Contingency: Winter Conditions","Approved","Yes","0.0","","1/13/2026","Winter Conditions","PCCO #008",""
"CONT-014","0","Contingency: Bike Racks","Approved","Yes","0.0","","1/12/2026","Owner Request","PCCO #008",""
"CONT-013","0","Contingency: Window Treatments","Approved","Yes","0.0","","1/6/2026","Owner Request","PCCO #008",""
"CONT-012","0","Contingency: Latch Guards and SF Reinforcement","Approved","Yes","0.0","","1/6/2026","Owner Request","PCCO #008",""
"CONT-011","0","Contingency: Relocate HL Switches at Units B1, C1, C2","Approved","Yes","0.0","","12/3/2025","Owner Request","PCCO #008",""
"CONT-010","0","Contingency: Soft Close Toilet Seats","Approved","Yes","0.0","","11/18/2025","Owner Request","PCCO #006",""
"CONT-009","0","Contingency: Moen Voss Toilet Accessories","Approved","Yes","0.0","","10/28/2025","Owner Request","PCCO #006",""
"CONT-008","0","Contingency: Solid Surface Tops 3cm","Approved","Yes","0.0","","10/8/2025","Owner Request","PCCO #003",""
