"Number","Revision","Title","Status","Executed","Amount","Date Initiated","Due Date","Review Date","Designated Reviewer","PCO",""
"017","0","PCCO 017 - Previously Approved PCOs: PCO 034 and PCO 036","Approved","Yes","-1250.0","5/21/2026","","5/21/2026","","PCO #034, PCO #036",""
"016","0","PCCO 016 - Previously Approved Owner Contingency Use: CONT-023 - CONT-025","Approved","Yes","0.0","5/21/2026","","5/21/2026","","PCO #CONT-023, PCO #CONT-024, PCO #CONT-025",""
"015","0","PCCO 015 -Previously Approved Owner Contingency Use: CONT-022","Approved","Yes","0.0","4/29/2026","","4/29/2026","","PCO #CONT-022",""
"014","0","PCCO 014 - Previously Approved Owner Contingency Use: CONT-020 & CONT-021","Approved","Yes","0.0","4/22/2026","","4/22/2026","","PCO #CONT-020, PCO #CONT-021",""
"013","0","PCCO 013 - Previously Approved PCOs: 032 and 033","Approved","Yes","23706.86","3/26/2026","","3/26/2026","","PCO #032, PCO #033",""
"012","0","PCCO 012 -  Previously Approved Owner Contingency Use: CONT-019","Approved","Yes","0.0","3/26/2026","","3/26/2026","","PCO #CONT-019",""
"011","0","PCCO 011 - Previously Approved Owner Contingency Use: CONT-017 and CONT-018","Approved","Yes","0.0","2/27/2026","","2/27/2026","","PCO #CONT-017, PCO #CONT-018",""
"010","0","PCCO 010 - Previously Approved PCOs: 030-031","Approved","Yes","-20288.84","2/25/2026","","2/25/2026","","PCO #030, PCO #031",""
"009","0","PCCO 009 - PCO 029 Winter Conditions","Approved","Yes","51515.02","1/27/2026","","1/27/2026","","PCO #029",""
"008","0","PCCO 008 - Previously Approved Owner Contingency Use: PCOs CONT-011 - CONT-016","Approved","Yes","0.0","1/16/2026","","1/16/2026","","PCO #CONT-011, PCO #CONT-012, PCO #CONT-013, PCO #CONT-014, PCO #CONT-015, PCO #CONT-016",""
"007","0","PCCO 007 - Previously Approved PCOs: 017-028","Approved","Yes","74163.03","1/15/2026","","1/20/2026","","PCO #017, PCO #018, PCO #019, PCO #020, PCO #021, PCO #022, PCO #023, PCO #024, PCO #025, PCO #026, PCO #027, PCO #028",""
"006","0","PCCO 006 - Previously Approved Owner Contingency Use PCOs CONT-009 and CONT-010","Approved","Yes","0.0","11/18/2025","","11/18/2025","","PCO #CONT-009, PCO #CONT-010",""
"005","0","PCCO 005 - Previously Approved PCOs: 008 - 016","Approved","Yes","-146098.65","11/18/2025","","11/18/2025","","PCO #008, PCO #010, PCO #011, PCO #012, PCO #009, PCO #013, PCO #014, PCO #015, PCO #016",""
"004","0","PCCO 004 - Previously Approved PCO 007","Approved","Yes","79948.75","10/16/2025","","10/16/2025","","PCO #007",""
"003","0","PCCO 003 - Previously Approved Owner Contingency Use PCOs CONT-001 - CONT-008","Approved","Yes","0.0","10/9/2025","","10/9/2025","","PCO #CONT-001, PCO #CONT-002, PCO #CONT-003, PCO #CONT-005, PCO #CONT-006, PCO #CONT-007, PCO #CONT-004, PCO #CONT-008",""
"002","0","PCCO 002 - Previously Approved PCOs 005 and 006","Approved","Yes","7714.05","9/22/2025","","9/22/2025","","PCO #005, PCO #006",""
"001","0","PCCO 001 - Previously Approved PCOs 001, PCO 002, and PCO 004","Approved","Yes","-35397.17","7/17/2025","","7/17/2025","","PCO #001, PCO #002, PCO #004",""
