Number,Contract Company,Contract Type,Title,ERP Status,Status,Executed,Original Contract Amount,Approved Change Orders,Revised Contract Amount,Pending Change Orders,Draft Change Orders,Invoiced,Payments Issued,% Paid,Remaining Balance Outstanding,Signatures Required,Private,Vendor,Primary Contact,Vendor Zip Code,Vendor Street,Vendor State,Company Name,Vendor Fax,Vendor Phone,Project Number,Project Name,Vendor City,Email Address,Signed Contract Received Date,Subcontract Type,Purchase Order Type,Subcontractor’s Authorized Representative,Subcontractor’s Fee % (Overhead and Profit on Change Orders),Contractor's Authorized Representative,Additional Insured
SC-25-117-029,WSB,Subcontract,Surveying,Synced,Approved,Yes,17750,0,17750,0,0,15513.47,0,0,17750,,Yes,WSB,,55416,"701 Xenia Ave S, Suite 300",MN,Fendler Patterson Construction,(763) 541-1700,(763) 541-4800,25-117,Orchard Path III,Minneapolis,,5/12/2025,FP Subcontract,,Jim Barich,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-031,Waterproofing by Experts,Subcontract,Waterproofing,Synced,Approved,Yes,108500,0,108500,0,0,103075,0,0,108500,,Yes,Waterproofing by Experts,,55014,448 Lilac St,MN,Fendler Patterson Construction,(651) 786-0555,(651) 786-5042,25-117,Orchard Path III,Lino Lakes,,6/26/2025,FP Subcontract,,Steve Messerich,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-200,Schindler Elevator Corporation,Subcontract,Elevators,Synced,Approved,No,317200,-4200,313000,0,0,215840,0,0,313000,,Yes,Schindler Elevator Corporation,,60673-3050,PO Box 93050,IL,Fendler Patterson Construction,(651) 406-5321,(651) 406-5335,25-117,Orchard Path III,Chicago,,,FP Subcontract,,Mats Holland,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
PO-25-117-123,Alpine Cabinetry,Purchase Order,Casework Supply,Synced,Approved,Yes,539086.57,46290.31,585376.88,0,0,503189.69,0,0,585376.88,,Yes,Alpine Cabinetry,,56304,1646 Hwy 23 East,MN,Fendler Patterson Construction,,(320) 654-1609,25-117,Orchard Path III,St. Cloud,,7/14/2025,,,Ron Pegg,,Ben Urness,
SC-25-117-123,Leon's Countertops,Subcontract,Solid Surface Tops and Sills,Synced,Approved,Yes,241000,9646.83,250646.83,0,0,217414.7,0,0,250646.83,,Yes,Leon's Countertops,,55431,1800 W. 94th  Street,MN,Fendler Patterson Construction,,,25-117,Orchard Path III,Bloomington,,9/16/2025,FP Subcontract,,Issac Leon,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-220,J-Berd Mechanical Contractors,Subcontract,Plumbing and HVAC,Synced,Approved,Yes,1955000,33469,1988469,0,0,1876107.5,0,0,1988469,,Yes,J-Berd Mechanical Contractors,,56379,1 Industrial Blvd,MN,Fendler Patterson Construction,(320) 656-0312,(320) 656-0847,25-117,Orchard Path III,Sauk Rapids,,7/15/2025,FP Subcontract,,Jeremy Hartneck,10,Calvin Hayes,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-030,"Gresser Companies, Inc.",Subcontract,Concrete and CMU,Synced,Approved,Yes,1155000,1143.62,1156143.62,0,0,1098336.44,0,0,1156143.62,,Yes,"Gresser Companies, Inc.",,55379,3 Checkered Flag Blvd,MN,Fendler Patterson Construction,(651) 454-4850,(651) 454-5976,25-117,Orchard Path III,Shakopee,,7/8/2025,FP Subcontract,,Matt Hartung,10,Calvin Hayes,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-260,"Berd Electric, LLC",Subcontract,Electrical,Synced,Approved,Yes,1286375,-120600,1165775,85,0,1093355,0,0,1165775,,Yes,"Berd Electric, LLC",,56379,1 Industrial Blvd,MN,Fendler Patterson Construction,(320) 656-0312,(320) 656-0847,25-117,Orchard Path III,Sauk Rapids,,8/4/2025,FP Subcontract,,Brock Iverson,10,Calvin Hayes,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-310,"Minnesota Utilities & Excavating, LLC",Subcontract,Earthwork and Utilities,Synced,Approved,Yes,696879,28595,725474,0,0,662339.05,0,0,725474,,Yes,"Minnesota Utilities & Excavating, LLC",,55025,13932 Lake Drive,MN,Fendler Patterson Construction,(651) 464-5536,(651) 464-5532,25-117,Orchard Path III,Forest Lake,,5/19/2025,FP Subcontract,,Charlie Wilson,10,Calvin Hayes,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association "
SC-25-117-034,"County Prestress & Precast, LLC",Subcontract,Precast Concrete,Synced,Approved,Yes,849366,10000,859366,0,0,816397.7,0,0,859366,,Yes,"County Prestress & Precast, LLC",,54023,1203 70th Avenue,WI,Fendler Patterson Construction,,(612) 202-1934,25-117,Orchard Path III,Roberts,,6/18/2025,FP Subcontract,,Andrew Seifert,10,Calvin Hayes,"PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-210,Security Fire Sprinkler,Subcontract,Fire Suppression,Synced,Approved,Yes,333715,0,333715,0,0,315320.2,0,0,333715,,Yes,Security Fire Sprinkler,,56379,1 Industrial Blvd,MN,Fendler Patterson Construction,,(320) 656-0847,25-117,Orchard Path III,Sauk Rapids,,8/6/2025,FP Subcontract,,Mike Loren,10,Calvin Hayes,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-062,JB Finishes,Subcontract,Finish Carpentry,Synced,Approved,Yes,220000,5625,225625,0,0,206292.5,0,0,225625,,Yes,JB Finishes,,55379,587 Citation Dr,MN,Fendler Patterson Construction,,,25-117,Orchard Path III,Shakopee,,10/7/2025,FP Subcontract,,Alec Vanasse,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-051,"D G Welding & Mfg., Inc.",Subcontract,Structural Steel and Metals,Synced,Approved,Yes,109395,147755,257150,0,0,188997.75,0,0,257150,,Yes,"D G Welding & Mfg., Inc.",,55121,3265 Sun Drive,MN,Fendler Patterson Construction,(651) 688-2466,(651) 688-2358,25-117,Orchard Path III,Eagan,,6/10/2025,FP Subcontract,,Quianna Dolney,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-022,"Lloyd's Construction Services, Inc.",Subcontract,Demolition,Synced,Approved,No,32480,1875,34355,0,0,34355,0,0,34355,,Yes,"Lloyd's Construction Services, Inc.",,55379,6528 County Road 101 E,MN,Fendler Patterson Construction,(952) 746-5800,(952) 746-5832,25-117,Orchard Path III,Shakopee,,,FP Subcontract,,Tony Hauck,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-061,Wolf Construction,Subcontract,Rough Carpentry Installation,Synced,Approved,Yes,740060,29967.5,770027.5,0,0,731526.12,0,0,770027.5,,Yes,Wolf Construction,,50265,2202 Wolf Way,IA,Fendler Patterson Construction,,(515) 225-8866,25-117,Orchard Path III,West Des Moines,,9/10/2025,FP Subcontract,,Jon VanDis,10,Calvin Hayes,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
PO-25-117-061,Mayfield Truss LLC,Purchase Order,Wall Panels and Trusses,Synced,Approved,Yes,831855.34,2937.54,834792.88,0,0,834792.88,0,0,834792.88,,Yes,Mayfield Truss LLC,,57278,18409 SD Hwy 25,SD,Fendler Patterson Construction,(605) 861-1824,(605) 861-1800,25-117,Orchard Path III,Willow Lake,,6/11/2025,,,Kent Namken,,Calvin Hayes,
PO-25-117-062,McCarron's Building Center,Purchase Order,Loose Lumber,Synced,Approved,Yes,585000,11405.67,596405.67,2329.13,0,585540.64,0,0,596405.67,,Yes,McCarron's Building Center,,55025,23840 Lake Blvd,MN,Fendler Patterson Construction,,(651) 464-5427,25-117,Orchard Path III,Forest Lake,,5/27/2025,,,Josh Gustafson,,Calvin Hayes,
SC-25-117-083,"Twin City Garage Door Co., Inc.",Subcontract,Overhead Garage Doors,Synced,Approved,Yes,12700,6000,18700,0,0,0,0,0,18700,,Yes,"Twin City Garage Door Co., Inc.",,55428,5601 Boone Ave N,MN,Fendler Patterson Construction,(763) 533-9704,(763) 533-3838,25-117,Orchard Path III,New Hope,,6/26/2025,FP Subcontract,,Jamie Korva,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-149,Ver-tech Inc,Subcontract,Trash Chute,Synced,Approved,Yes,13000,0,13000,0,0,12350,0,0,13000,,Yes,Ver-tech Inc,,55373,6801 Bleck Drive,MN,Fendler Patterson Construction,,(763) 559-2590,25-117,Orchard Path III,Rockford,,7/10/2025,FP Subcontract,,David Vertin,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
PO-25-117-085,Arrow Building Center,Purchase Order,Windows and Patio Doors,Synced,Approved,No,293248,616.35,293864.35,0,0,288700.85,0,0,293864.35,,Yes,Arrow Building Center,Mark Sandahl,55485,PO Box 856310,MN,Fendler Patterson Construction,,(651) 207-5196,25-117,Orchard Path III,Minneapolis,,,,FP Purchase Order,Ben Urness,,Dustin Paulson,
SC-25-117-323,"Autumn Ridge Landscaping, Inc.",Subcontract,Landscaping and Irrigation,Synced,Approved,Yes,190428,4387,194815,0,0,4167.65,0,0,194815,,Yes,"Autumn Ridge Landscaping, Inc.",,55357,8940 Greenfield Road,MN,Fendler Patterson Construction,(763) 498-7572,(763) 498-7574,25-117,Orchard Path III,Loretto,,6/2/2025,FP Subcontract,,Joe Grygelko,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
PO-25-117-105,Atlanta 100 Corp,Purchase Order,Postal Specialties,Synced,Approved,Yes,11377.99,0,11377.99,0,0,11377.99,0,0,11377.99,,Yes,Atlanta 100 Corp,,30067,2395 Tuxedo Dr,GA,Fendler Patterson Construction,,(770) 973-6196,25-117,Orchard Path III,Marietta,,11/17/2025,,,Stephen McQuillen,,Ben Urness,
SC-25-117-103,Hearth & Home Technologies LLC,Subcontract,Manufactured Fireplaces ,Synced,Approved,Yes,139875,0,139875,0,0,132881.25,0,0,139875,,Yes,Hearth & Home Technologies LLC,,55113,2700 N. Fairview Ave.,MN,Fendler Patterson Construction,,,25-117,Orchard Path III,Roseville,,,FP Subcontract,,Mitch Zechmann,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-105,Harkraft,Subcontract,Closet Shelving,Synced,Approved,Yes,23684.08,0,23684.08,0,0,22499.88,0,0,23684.08,,Yes,Harkraft,,55441,"13310 Industrial Park Blvd, Suite 164",MN,Fendler Patterson Construction,(763) 542-9215,(763) 544-4478,25-117,Orchard Path III,Plymouth,,6/26/2025,FP Subcontract,,Tim Smith,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-113,All Inc.,Subcontract,Appliances,Synced,Approved,No,387418.98,9518.69,396937.67,0,0,377090.78,0,0,396937.67,,Yes,All Inc.,,55107,185 W. Plato Blvd.,MN,Fendler Patterson Construction,(651) 292-0541,(651) 227-6331,25-117,Orchard Path III,St. Paul,,,FP Subcontract,,Ryan Yursi,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
SC-25-117-101,Indigo Signs - Fargo,Subcontract,Traffic Signage,Synced,Approved,Yes,4233.1,0,4233.1,0,0,0,0,0,4233.1,,Yes,Indigo Signs - Fargo,,58103,1622 Main Ave,ND,Fendler Patterson Construction,(701) 297-9697,(701) 297-9696,25-117,Orchard Path III,Fargo,,1/21/2026,FP Subcontract,,Greg Rendall,10,Ben Urness,"Fendler Patterson Construction, Inc; PHS Apple Valley Senior Housing, Inc.; UMB Bank, National Association"
